Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/matt_proteomics/250711_MM_11262_8_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_2_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_7_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_6_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_4_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_5_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_3_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_1_uncalibrated.mzML
A0A075B6K5	A0A075B6K5		IGLV3-9			2.08325e+06						694323
A0A075B6P5	A0A075B6P5		IGKV2-28			1.15933e+07						3.44773e+06
A0A075B6R9	A0A075B6R9		IGKV2D-24			1.53132e+06						996053
A0A075B6S5	A0A075B6S5		IGKV1-27			2.57489e+06						622822
A0A096LNW5	A0A096LNW5		NOTCH2NLR		355685	310606	554069	374798	606542	627783	455893	396606
A0A096LP01	A0A096LP01		SMIM26		1.77243e+06	2.30668e+06	1.96055e+06	1.55513e+06	2.49614e+06	6.22161e+06	1.93091e+06	6.36142e+06
A0A0B4J1X5	A0A0B4J1X5		IGHV3-74			7.55862e+06						2.06963e+06
A0A0B4J2A2	A0A0B4J2A2		PPIAL4C		1.69435e+08	1.95e+08	1.66868e+08	2.39394e+08	1.79337e+08	2.2929e+08	2.02701e+08	2.17936e+08
A0A0B4J2B5	A0A0B4J2B5		IGHV3OR16-9			3.9888e+07	1.09951e+06	1.2067e+06			1.14236e+06	1.06248e+07
A0A0B4J2F0	A0A0B4J2F0		PIGBOS1		5.30619e+06	4.73173e+06	4.05256e+06	5.12686e+06	4.91927e+06	6.55146e+06	4.29863e+06	5.25827e+06
A0A0C4DGP1	A0A0C4DGP1		SMIM10L3		1.62702e+06	1.09749e+06	1.25181e+06	1.46606e+06	1.61008e+06	1.08109e+06	1.75022e+06	855817
A0A0C4DH29	A0A0C4DH29		IGHV1-3		1.73954e+06	2.19892e+06						2.34882e+06
A0A0C4DH41	A0A0C4DH41		IGHV4-61			7.8467e+06						1.64987e+06
A0A0C4DH72	A0A0C4DH72		IGKV1-6			2.59648e+06						810495
A0A804HLA8	A0A804HLA8		GNG5B		2.90424e+06	2.48797e+06	3.90807e+06	4.80916e+06		4.67227e+06	3.88162e+06	
A0ABB0MV19	A0ABB0MV19				4.26761e+07	5.68782e+07	3.03029e+07	2.69625e+07	7.10455e+07	3.08482e+07	5.84294e+07	5.12783e+07
A0AVF1	A0AVF1		IFT56		1.32002e+06	1.79647e+06	1.46383e+06	1.5154e+06	1.62843e+06	1.38882e+06	1.90262e+06	1.58223e+06
A0AVI4	A0AVI4		TMEM129		1.3158e+06	768665	1.5523e+06	1.45625e+06	1.31059e+06	3.30403e+06	2.15329e+06	4.04161e+06
A0AVT1	A0AVT1		UBA6		9.33635e+06	1.28348e+07	1.17848e+07	1.47492e+07	8.40954e+06	9.0211e+06	1.09546e+07	9.2016e+06
A0FGR8	A0FGR8		ESYT2		2.74778e+07	1.91544e+07	2.73892e+07	2.68118e+07	2.11213e+07	2.83395e+07	2.22724e+07	2.42219e+07
A0JLT2	A0JLT2		MED19			770852		510578				
A0JNW5	A0JNW5		BLTP3B		984077	1.64185e+06	1.13092e+06	1.49194e+06	1.07652e+06	1.02562e+06	1.44067e+06	1.01449e+06
A0MZ66	A0MZ66		SHTN1		1.56366e+06	1.28355e+06	1.34423e+06	1.12009e+06	1.94424e+06	1.15344e+06	1.45752e+06	1.06638e+06
A0PJW6	A0PJW6		TMEM223		2.05927e+07	2.2789e+07	1.79115e+07	2.01213e+07	2.14444e+07	3.42669e+07	2.22919e+07	3.6084e+07
A0PJZ3	A0PJZ3		GXYLT2		253411	162756	206402	255498	376222	308337	253692	343162
A0PK00	A0PK00		TMEM120B		2.09136e+06	1.99083e+06	2.11882e+06	1.68421e+06	1.83035e+06	3.24911e+06	2.1044e+06	2.60707e+06
A1A4S6	A1A4S6		ARHGAP10		3.08218e+06	4.16451e+06	3.34023e+06	3.77808e+06	3.82161e+06	2.6917e+06	3.71653e+06	2.61687e+06
A1A5D9	A1A5D9		BICDL2			631137						
A1L020	A1L020		MEX3A		1.81727e+06	2.03306e+06	1.69814e+06	1.88689e+06	1.85073e+06	2.08047e+06	1.99071e+06	2.62782e+06
A1L0T0	A1L0T0		ILVBL		2.35142e+07	3.09878e+07	2.5193e+07	2.49442e+07	2.79089e+07	3.40457e+07	3.1844e+07	4.00529e+07
A1L390	A1L390		PLEKHG3		4.69148e+06	3.54226e+06	5.0234e+06	5.0365e+06	3.76183e+06	5.00419e+06	4.07552e+06	3.66917e+06
A1X283	A1X283		SH3PXD2B		9.61144e+06	1.10868e+07	8.39895e+06	8.84739e+06	9.3695e+06	6.8514e+06	9.23885e+06	7.56392e+06
A2A2Y4	A2A2Y4		FRMD3		1.348e+07	1.23891e+07	1.47521e+07	1.60718e+07	1.3733e+07	1.40014e+07	1.56707e+07	1.37724e+07
A2RRP1	A2RRP1		NBAS		1.50474e+07	1.54087e+07	1.82323e+07	1.79288e+07	1.43363e+07	2.01616e+07	1.81356e+07	1.93756e+07
A2RU67	A2RU67		FAM234B		2.47015e+07	2.9758e+07	2.7615e+07	2.72458e+07	2.59572e+07	2.81182e+07	2.81624e+07	2.7378e+07
A2RUS2	A2RUS2		DENND3		711234	788007	985711	972607	657393	573544	749087	571289
A2VDJ0	A2VDJ0		TMEM131L		787511	1.00478e+06	844036	939168	1.41619e+06	1.42651e+06	1.28578e+06	1.62088e+06
A3KMH1	A3KMH1		VWA8		2.8038e+07	1.90601e+07	2.52871e+07	1.54062e+07	2.52047e+07	2.25844e+07	2.41645e+07	2.22904e+07
A3KN83	A3KN83		SBNO1		1.91986e+06	4.82592e+06	3.29505e+06	5.3989e+06	2.50483e+06	3.73118e+06	3.18131e+06	3.0721e+06
A4D1E9	A4D1E9		GTPBP10		1.16584e+07	9.36322e+06	1.0808e+07	5.45923e+06	1.45918e+07	1.1789e+07	1.35439e+07	1.45266e+07
A4D1P6	A4D1P6		WDR91		4.29458e+06	4.96023e+06	4.8566e+06	5.20578e+06	4.60758e+06	5.37331e+06	5.11387e+06	4.95389e+06
A4D1S5	A4D1S5		RAB19		9.46876e+06	5.09294e+06	7.38594e+06	3.63608e+06	1.61947e+06	1.11498e+07	5.44561e+06	1.33044e+07
A4D1U4	A4D1U4		DENND11		3.46033e+06	2.91009e+06	4.20594e+06	3.61486e+06	3.11566e+06	4.6514e+06	3.5033e+06	4.05344e+06
A5D8V6	A5D8V6		VPS37C		4.19497e+06	6.53347e+06	4.44672e+06	5.5455e+06	4.46448e+06	5.59047e+06	6.39969e+06	5.88157e+06
A5PLL7	A5PLL7		PEDS1		3.18383e+06	1.55135e+06	1.9304e+06	2.49384e+06	2.71363e+06	3.66252e+06	1.70914e+06	3.05912e+06
A5PLN9	A5PLN9		TRAPPC13		1.26594e+06	1.55839e+06	1.49727e+06	1.69674e+06	1.41944e+06	1.58139e+06	1.47176e+06	1.51732e+06
A5YKK6	A5YKK6		CNOT1		1.02421e+07	1.53326e+07	1.52224e+07	1.86184e+07	1.02241e+07	1.03802e+07	1.32128e+07	8.83295e+06
A6NCE7	A6NCE7		MAP1LC3B2		6.8351e+06	6.52275e+06	8.08268e+06	7.43747e+06	7.62955e+06	8.01055e+06	6.4389e+06	4.11591e+06
A6NCL7	A6NCL7		ANKRD33B		744204	921255	989438	1.10126e+06	718784	1.02406e+06	985237	862849
A6NCQ9	A6NCQ9		RNF222			2.04172e+06	2.09886e+06	2.28442e+06	1.72503e+06	2.27868e+06	1.65067e+06	1.80856e+06
A6NCS6	A6NCS6		C2orf72		6.71354e+06	2.98678e+06	6.22809e+06	4.59048e+06	3.97082e+06	5.61326e+06	5.61444e+06	4.24795e+06
A6ND36	A6ND36		FAM83G		1.0722e+06	1.76002e+06	1.23722e+06	1.01009e+06	1.8422e+06	873372	982377	961785
A6ND91	A6ND91		ASPDH		4.03881e+07	2.76042e+07	4.74582e+07	4.07188e+07	2.97929e+07	4.62866e+07	3.41348e+07	3.40762e+07
A6NDG6	A6NDG6		PGP		4.64921e+06	4.3547e+06	5.03514e+06	4.60479e+06	4.28909e+06	4.91874e+06	5.55938e+06	5.02008e+06
A6NDU8	A6NDU8		RIMOC1		2.19932e+06	6.68693e+06	5.34625e+06	7.75936e+06	2.29768e+06	3.71165e+06	4.8528e+06	3.33671e+06
A6NFQ2	A6NFQ2		TCAF2		2.01279e+07	1.04433e+07	1.50643e+07	1.10935e+07	1.33098e+07	1.34268e+07	1.18984e+07	1.13938e+07
A6NFY7	A6NFY7		SDHAF1		822499	1.1173e+06	1.08453e+06	867392	1.45507e+06	810993	1.24652e+06	789198
A6NHL2	A6NHL2		TUBAL3		4.11615e+06	9.95064e+06	7.39836e+06	1.60879e+07	6.96558e+06	7.10633e+06	7.6535e+06	7.73709e+06
A6NHR9	A6NHR9		SMCHD1		7.96412e+06	3.34284e+07	1.77508e+07	3.71408e+07	1.74605e+07	1.45343e+07	2.52994e+07	1.49362e+07
A6NIH7	A6NIH7		UNC119B		2.21711e+06	2.34044e+06	2.19529e+06	2.41738e+06	1.18979e+06	1.8846e+06	1.84669e+06	2.06533e+06
A6NJ78	A6NJ78		METTL15		1.25689e+07	1.16398e+07	9.66972e+06	5.22511e+06	1.95623e+07	8.77118e+06	1.62485e+07	1.18783e+07
A6NK58	A6NK58		LIPT2				1.25713e+06	1.09156e+06		1.40902e+06		
A6NKD9	A6NKD9		CCDC85C		3.84099e+06	2.71792e+06	3.80396e+06	3.01222e+06	3.78023e+06	4.39805e+06	3.18133e+06	3.3948e+06
A6NMY6	A6NMY6		ANXA2P2			4.64206e+07	8.80721e+07	6.17289e+07	3.66997e+07			8.362e+07
A6NNL5	A6NNL5		C15orf61		3.12576e+07	2.50555e+07	2.89874e+07	2.6923e+07	2.18672e+07	3.59332e+07	2.70955e+07	3.52634e+07
A6NNZ2	A6NNZ2		TUBB8B					2.95671e+07				
A6QL63	A6QL63		ABTB3		1.22302e+07	1.03675e+07	9.65099e+06	8.36152e+06	1.30189e+07	7.15272e+06	9.85741e+06	9.16699e+06
A7E2V4	A7E2V4		ZSWIM8		557246	794221	619096	766002	470908	645410	502551	600904
A7E2Y1	A7E2Y1		MYH7B		8.40624e+06	8.40219e+06	7.61727e+06	6.76111e+06	9.75927e+06	7.85647e+06	7.46151e+06	9.00347e+06
A7KAX9	A7KAX9		ARHGAP32		685369	1.0819e+06	709938	1.02417e+06	977000	633154	966678	678490
A8CG34	A8CG34		POM121C		1.22715e+06	1.65684e+06	1.33177e+06	1.48631e+06	1.21727e+06	1.72902e+06	1.59496e+06	1.95736e+06
A8K0Z3	A8K0Z3		WASHC1		6.11854e+06	7.10763e+06	5.69298e+06	5.89112e+06	7.44924e+06	4.54983e+06	6.40852e+06	5.50889e+06
A8K2U0	A8K2U0		A2ML1		7.18791e+06	1.35517e+07	6.21027e+06	5.43836e+06	5.46183e+06	7.96703e+06	7.68291e+06	8.20707e+06
A8MPS7	A8MPS7		YDJC		3.35625e+06	2.45514e+06	1.76685e+06	1.45571e+06		4.4406e+06		1.26439e+06
A8MTT3	A8MTT3		CEBPZOS		1.1904e+07	1.66587e+07	1.17573e+07	1.04703e+07	1.53997e+07	2.13794e+07	1.22861e+07	2.30205e+07
